case,gt_presence,pred_presence,pred_components,gt_components,pred_overlap_components,pred_fp_components,gt_detected_components,pred_exact_components,pred_territory_components,pred_side_denominator,pred_side_correct,gt_exact_detected,gt_territory_detected,gt_side_denominator,gt_side_correct,pred_voxels,gt_voxels,tp_binary_voxels,tp_location_voxels,tp_oracle_location_voxels,binary_dice
topaneu_center4_ct_005,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,103,201,100,100,100,0.6578947368421053
topaneu_center4_ct_025_1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,86,116,84,84,84,0.8316831683168316
topaneu_center4_ct_025_2,1,1,2,2,2,0,2,1,2,2,1,1,2,2,1,411,478,389,98,389,0.875140607424072
topaneu_center4_ct_045,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,105,156,0,0,0,0.0
topaneu_center4_ct_051_1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,108,192,108,0,108,0.72
topaneu_center4_ct_051_2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,96,210,96,0,96,0.6274509803921569
topaneu_center4_ct_055,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,119,461,117,0,117,0.40344827586206894
topaneu_center4_ct_059,1,1,1,2,1,0,1,0,1,1,1,0,1,1,1,111,218,108,0,108,0.6565349544072948
topaneu_center4_ct_097,1,1,1,2,1,0,1,0,1,1,0,0,1,1,0,1119,1075,960,0,960,0.8751139471285324
topaneu_center4_ct_102,1,1,1,3,1,0,1,0,0,1,1,0,0,1,1,368,380,292,0,292,0.7807486631016043
topaneu_center4_ct_105,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,15,36,0,0,0,0.0
topaneu_center4_ct_122,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,15,143,15,15,15,0.189873417721519
topaneu_center5_mr_010,1,1,2,1,1,1,1,0,1,0,0,0,1,0,0,24031,36328,23454,0,23454,0.7771500521877434
topaneu_center5_mr_029,1,1,1,2,1,0,1,0,1,1,1,0,1,1,1,1530,1597,1376,0,1376,0.8800767508794372
topaneu_center5_mr_037,1,1,5,1,1,4,1,0,1,0,0,0,1,0,0,9111,7792,6171,0,6171,0.7301662426788144
topaneu_center5_mr_039,1,1,4,2,1,3,1,0,0,0,0,0,0,0,0,4054,3777,2907,0,2907,0.7424339164857617
topaneu_center5_mr_041,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0.0
topaneu_center5_mr_074,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,8799,7024,6658,0,6658,0.8415597547873349
topaneu_center5_mr_081,1,1,2,1,1,1,1,0,1,0,0,0,1,0,0,12932,11594,10944,0,10944,0.8924406752018267
topaneu_center5_mr_476,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,84,121,66,66,66,0.6439024390243903
topaneu_center5_mr_488,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.0
topaneu_center5_mr_489,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,200,138,106,106,106,0.6272189349112426
topaneu_center5_mr_492,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0.0
topaneu_center1_mr_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_024,1,1,2,3,0,2,0,0,0,0,0,0,0,0,0,41,206,0,0,0,0.0
topaneu_center1_mr_038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_056,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,65,99,57,57,57,0.6951219512195121
topaneu_center1_mr_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_191,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,92,135,81,0,81,0.7136563876651982
topaneu_center1_mr_210,1,1,2,3,1,1,1,0,1,1,1,0,1,1,1,11,107,6,0,6,0.1016949152542373
topaneu_center1_mr_221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_264,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0.0
topaneu_center1_mr_298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_336,1,1,2,1,1,1,1,0,1,0,0,0,1,0,0,145,210,135,0,135,0.7605633802816901
topaneu_center1_mr_396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_411,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,99,106,82,0,82,0.8
topaneu_center1_mr_496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_501,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0.0
topaneu_center1_mr_509,1,1,3,1,1,2,1,0,1,1,1,0,1,1,1,52,107,42,0,42,0.5283018867924528
topaneu_center1_mr_522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_523,1,1,3,2,2,1,2,0,2,1,1,0,2,1,1,326,356,248,0,248,0.7272727272727273
topaneu_center1_mr_527,1,1,1,2,1,0,1,0,1,1,1,0,1,1,1,44,56,29,0,29,0.58
topaneu_center1_mr_561,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,30,25,15,0,15,0.5454545454545454
topaneu_center1_mr_596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_612,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,22,50,10,0,10,0.2777777777777778
topaneu_center1_mr_732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_776,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,196,179,158,0,158,0.8426666666666667
topaneu_center1_mr_792,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0.0
topaneu_center1_mr_795,1,1,3,2,2,1,2,1,2,2,1,1,2,2,1,117,84,68,43,68,0.6766169154228856
topaneu_center1_mr_800,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0.0
topaneu_center1_mr_804,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10,33,0,0,0,0.0
topaneu_center1_mr_810,1,1,2,1,1,1,1,0,1,1,0,0,1,1,0,241,131,103,0,103,0.553763440860215
topaneu_center1_mr_823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_892,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,164,138,128,0,128,0.847682119205298
topaneu_center1_mr_924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_975,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.0
topaneu_center2_ct_107,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0.0
topaneu_center2_ct_125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0.0
topaneu_center2_ct_134,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0.0
topaneu_center2_ct_137,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,583,347,341,0,341,0.7333333333333333
topaneu_center2_ct_138,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,606,747,594,0,594,0.8780487804878049
topaneu_center2_ct_162,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2036,1725,1710,0,1710,0.9093326243020473
topaneu_center2_ct_169,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,5422,3890,3890,0,3890,0.8354810996563574
topaneu_center2_ct_175,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,103,101,79,0,79,0.7745098039215687
topaneu_center2_ct_190,1,1,2,1,1,1,1,0,0,1,1,0,0,1,1,662,283,140,0,140,0.2962962962962963
topaneu_center2_ct_193,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0.0
topaneu_center2_ct_197,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,62,300,0,0,0,0.0
topaneu_center2_mr_010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0.0
topaneu_center2_mr_011,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,239,107,107,0,107,0.6184971098265896
topaneu_center2_mr_017,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,71,64,57,0,57,0.8444444444444444
topaneu_center2_mr_031,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,97,56,56,0,56,0.7320261437908496
topaneu_center2_mr_034,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,11,39,11,0,11,0.44
topaneu_center2_mr_047,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,219,163,147,147,147,0.7696335078534031
topaneu_center2_mr_048,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.0
topaneu_center2_mr_050,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,45,50,33,0,33,0.6947368421052632
topaneu_center4_ct_002,1,1,1,3,1,0,1,1,1,1,1,1,1,1,1,150,181,102,102,102,0.6163141993957704
topaneu_center4_ct_042_1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,50,22,8,0,8,0.2222222222222222
topaneu_center4_ct_042_2,1,1,2,2,2,0,2,0,2,2,1,0,2,2,1,137,189,114,0,114,0.6993865030674846
topaneu_center4_ct_048,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,188,102,79,0,79,0.5448275862068965
topaneu_center4_ct_057,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,165,161,137,0,137,0.8404907975460123
topaneu_center4_ct_087,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,455,511,430,0,430,0.8902691511387164
topaneu_center4_ct_103,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,2717,3020,2451,0,2451,0.8544535471500785
topaneu_center4_ct_107,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,187,222,163,0,163,0.7970660146699267
topaneu_center4_ct_116,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0.0
topaneu_center4_ct_127,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,76,966,73,0,73,0.1401151631477927
topaneu_center4_ct_201,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,80,305,0,0,0,0.0
topaneu_center5_mr_016,1,1,4,1,1,3,1,0,1,0,0,0,1,0,0,17304,25236,17066,0,17066,0.8023507287259051
topaneu_center5_mr_023,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1190,1117,953,0,953,0.8261811876896402
topaneu_center5_mr_027,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,65,586,58,0,58,0.1781874039938556
topaneu_center5_mr_036,1,1,2,1,1,1,1,1,1,0,0,1,1,0,0,3227,1750,1674,1674,1674,0.6726943942133815
topaneu_center5_mr_063,1,1,2,1,1,1,1,0,0,1,1,0,0,1,1,1179,1109,983,0,983,0.8592657342657343
topaneu_center5_mr_452,1,1,2,1,1,1,1,0,0,1,1,0,0,1,1,561,65,39,0,39,0.12460063897763578
topaneu_center5_mr_454,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,322,361,277,0,277,0.8111273792093704
topaneu_center5_mr_466,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,229,313,196,0,196,0.7232472324723247
topaneu_center5_mr_467,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,65,96,60,0,60,0.7453416149068323
topaneu_center5_mr_470,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,18,31,16,0,16,0.6530612244897959
topaneu_center5_mr_480,1,1,1,2,1,0,1,0,1,0,0,0,1,0,0,168,290,128,0,128,0.5589519650655022
topaneu_center1_mr_061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_085,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,137,103,52,52,52,0.43333333333333335
topaneu_center1_mr_088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_129,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,61,120,56,56,56,0.6187845303867403
topaneu_center1_mr_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_148,1,1,4,1,1,3,1,0,1,1,1,0,1,1,1,211,160,118,0,118,0.6361185983827493
topaneu_center1_mr_177,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,139,131,111,0,111,0.8222222222222222
topaneu_center1_mr_188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_198,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,833,1052,788,788,788,0.8360742705570292
topaneu_center1_mr_200,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,183,236,159,0,159,0.7589498806682577
topaneu_center1_mr_202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_229,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.0
topaneu_center1_mr_282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_301,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1434,0,0,0,0.0
topaneu_center1_mr_330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_334,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.0
topaneu_center1_mr_350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_354,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,75,62,52,0,52,0.7591240875912408
topaneu_center1_mr_386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_401,1,1,2,2,1,1,1,0,1,1,0,0,1,1,0,120,163,46,0,46,0.3250883392226148
topaneu_center1_mr_474,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,237,248,212,212,212,0.8742268041237113
topaneu_center1_mr_477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_528,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,22,67,0,0,0,0.0
topaneu_center1_mr_572,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,69,72,47,47,47,0.6666666666666666
topaneu_center1_mr_614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_625,1,1,2,2,1,1,1,0,1,1,0,0,1,1,0,63,294,41,0,41,0.22969187675070027
topaneu_center1_mr_742,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,60,90,59,0,59,0.7866666666666666
topaneu_center1_mr_765,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0.0
topaneu_center1_mr_790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_917,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,196,2273,176,0,176,0.14256784123126773
topaneu_center1_mr_920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_922,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
topaneu_center1_mr_928,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,33,71,33,0,33,0.6346153846153846
topaneu_center1_mr_939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_981,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,71,133,69,0,69,0.6764705882352942
topaneu_center2_ct_109,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0.0
topaneu_center2_ct_119,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,242,186,179,0,179,0.8364485981308412
topaneu_center2_ct_154,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0.0
topaneu_center2_ct_172,1,1,1,4,1,0,1,0,1,1,1,0,1,1,1,425,647,360,0,360,0.6716417910447762
topaneu_center2_ct_173,1,1,3,1,0,3,0,0,0,0,0,0,0,0,0,231,57,0,0,0,0.0
topaneu_center2_ct_189,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0.0
topaneu_center2_ct_192,1,1,2,2,1,1,1,0,1,1,1,0,1,1,1,175,193,115,0,115,0.625
topaneu_center2_mr_025,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,173,137,117,0,117,0.7548387096774194
topaneu_center2_mr_029,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,58,22,21,0,21,0.525
topaneu_center2_mr_044,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,12,55,5,5,5,0.14925373134328357
topaneu_center2_mr_085,1,1,2,5,2,0,2,0,2,2,1,0,2,2,1,6796,7554,5608,0,5608,0.781602787456446
topaneu_center4_ct_008_1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,73,57,50,0,50,0.7692307692307693
topaneu_center4_ct_008_2,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,73,81,61,0,61,0.7922077922077922
topaneu_center4_ct_012,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0.0
topaneu_center4_ct_019,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,7,208,7,0,7,0.06511627906976744
topaneu_center4_ct_037,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0.0
topaneu_center4_ct_060,1,1,2,2,2,0,2,1,1,0,0,1,1,0,0,264,351,227,4,227,0.7382113821138211
topaneu_center4_ct_067,1,1,3,1,1,2,1,0,0,0,0,0,0,0,0,346,164,142,0,142,0.5568627450980392
topaneu_center4_ct_072,1,1,3,1,1,2,1,0,1,1,0,0,1,1,0,334,414,300,0,300,0.8021390374331551
topaneu_center4_ct_074,1,1,6,2,1,5,1,0,1,1,0,0,1,1,0,4189,4118,3745,0,3745,0.9016492115083664
topaneu_center4_ct_083,1,1,2,5,2,0,3,0,2,2,2,1,3,3,3,1702,2155,1587,62,1525,0.8229193673839772
topaneu_center4_ct_094,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,204,251,193,0,193,0.8483516483516483
topaneu_center4_ct_101,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,380,394,27,27,27,0.06976744186046512
topaneu_center4_ct_134,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1356,0,0,0,0.0
topaneu_center4_ct_193,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7173,8975,7128,7128,7128,0.8828337874659401
topaneu_center5_mr_024,1,1,3,1,1,2,1,0,1,0,0,0,1,0,0,2661,2304,1935,0,1935,0.7794561933534743
topaneu_center5_mr_025,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,5,450,5,0,5,0.02197802197802198
topaneu_center5_mr_031,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,2345,2088,1842,0,1842,0.8310399278141214
topaneu_center5_mr_033,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1267,1484,1084,0,1084,0.7880770628862231
topaneu_center5_mr_034,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2204,2554,2000,2000,2000,0.8406893652795292
topaneu_center5_mr_068,1,1,1,3,1,0,2,0,1,0,0,0,2,0,0,3160,2684,1925,0,1925,0.6587953456536618
topaneu_center5_mr_082,1,1,5,1,1,4,1,1,1,0,0,1,1,0,0,6771,1479,1425,1425,1425,0.34545454545454546
topaneu_center5_mr_453,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,101,49,48,0,48,0.64
topaneu_center5_mr_455,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,130,122,100,0,100,0.7936507936507936
topaneu_center5_mr_458,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,179,180,123,0,123,0.6852367688022284
topaneu_center5_mr_460,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,4,145,4,0,4,0.053691275167785234
topaneu_center5_mr_461,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,105,126,96,96,96,0.8311688311688312
topaneu_center5_mr_471,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,269,325,256,256,256,0.8619528619528619
topaneu_center5_mr_473,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,378,467,317,317,317,0.7502958579881657
topaneu_center5_mr_475,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,50,69,45,45,45,0.7563025210084033
topaneu_center5_mr_479,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0.0
topaneu_center5_mr_481,1,1,3,2,1,2,1,0,1,1,1,0,1,1,1,126,72,40,0,40,0.40404040404040403
topaneu_center5_mr_485,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,46,50,32,0,32,0.6666666666666666
